대지위치,착공예정일,실착공일,사용승인일,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정용면적(㎡),용적률(%),주용도,기타용도,위도,경도
경기도 광명시 가학동 265,20060414,20060414,20061123,330.0,181.09,54.88,296.61,296.61,89.88,단독주택,단독주택,37.4155732,126.858314
경기도 광명시 가학동 265,20060414,20060414,20061121,330.0,195.87,59.35,195.87,195.87,59.35,단독주택,단독주택,37.4155732,126.858314
경기도 광명시 가학동 336-5,20061010,20061010,20061227,526.0,158.94,30.22,199.14,199.14,37.86,제2종근린생활시설,단독주택,37.4220567,126.8567533
경기도 광명시 가학동 493-1,20061115,20061115,20070104,755.0,197.96,26.22,197.96,197.96,26.22,제2종근린생활시설,제조업,37.4179288,126.8520894
경기도 광명시 가학동 496-1,20060331,20060330,20060524,387.0,87.57,22.63,75.0,75.0,19.38,단독주택,,37.4174945,126.851822
경기도 광명시 가학동 496-3,20061115,20061115,20070104,680.0,197.96,29.11,197.96,197.96,29.11,제2종근린생활시설,제조업,37.4173358,126.8518275
경기도 광명시 가학동 631,20061204,20061204,20080416,323.0,187.2,57.96,299.34,299.34,92.67,단독주택,,37.4145758,126.8496703
경기도 광명시 가학동 912-7,20060803,20060803,20061106,330.0,196.65,59.59,196.65,196.65,59.59,단독주택,,37.4087218,126.8545805
경기도 광명시 가학동 937-18,20060330,20060323,20060629,550.0,295.2,53.67,295.2,295.2,53.67,제2종근린생활시설,제조업소,37.4069286,126.8613872
경기도 광명시 가학동 937-19,20060328,20060329,20060729,330.0,196.33,59.49,196.33,196.33,59.49,제2종근린생활시설,제조업소,37.4071978,126.8616007
경기도 광명시 광명동 12-139,20060901,20060831,20070103,235.4,141.0,59.9,269.0,269.0,114.27,제2종근린생활시설,소매점/사무실,37.4858131,126.8595128
경기도 광명시 광명동 42-64,20060915,20060915,20061228,205.0,114.82,56.01,359.75,359.75,175.49,공동주택,다세대주택,37.4736789,126.8581844
경기도 광명시 광명동 149-2,20060913,20060913,20070621,189.1,126.8,67.05,1598.91,1505.57,796.18,제2종근린생활시설,,37.4784485,126.8584841
경기도 광명시 광명동 164-12,20060523,20060523,20060831,296.0,192.97,65.19,320.4,320.4,108.24,제2종근린생활시설,수리점,37.4807693,126.8489944
경기도 광명시 광명동 247-2,20060105,,20060523,233.0,115.58,49.61,542.49,542.49,232.83,제2종근린생활시설,학원,37.4751169,126.847712
경기도 광명시 광명동 334-27,20061016,20061011,20070109,165.0,97.75,59.24,282.58,282.58,171.26,교육연구시설,유치원,37.473147,126.8533388
경기도 광명시 광명동 346-48,20060804,20060804,20070509,330.0,218.8,66.3,1450.56,1239.45,375.59,제1종근린생활시설,,37.4731326,126.8511552
경기도 광명시 광명동 419-25,20060412,20060413,20061018,530.0,237.5,44.81,1083.78,1083.78,204.49,공동주택,,37.4704223,126.8507588
경기도 광명시 광명동 575-15,20060426,20060417,20061130,359.0,191.36,53.3,191.36,191.36,53.3,제1종근린생활시설,소매점,37.462917,126.8520158
경기도 광명시 광명동 578,20060925,20060922,20070212,386.0,159.03,41.2,298.11,298.11,77.23,단독주택,근린생활시설(제조업소),37.462979,126.8534006
경기도 광명시 노온사동 44,20060803,20060803,20061129,1480.0,499.5,33.75,499.5,499.5,33.75,동물및식물관련시설,축사(퇴비사),37.4569095,126.856213
경기도 광명시 노온사동 44,20060803,20060803,20061129,1480.0,499.5,33.75,499.5,499.5,33.75,동물및식물관련시설,축사,37.4569095,126.856213
경기도 광명시 노온사동 46-2,20060803,20060803,20061129,1480.0,499.5,33.75,499.5,499.5,33.75,동물및식물관련시설,축사(퇴비사),37.4547932,126.8486385
경기도 광명시 노온사동 46-2,20060803,20060803,20061129,1480.0,499.5,33.75,499.5,499.5,33.75,동물및식물관련시설,축사,37.4547932,126.8486385
경기도 광명시 노온사동 152-9,20060811,20060811,20061123,330.0,196.56,59.56,231.12,231.12,70.04,단독주택,,37.4524794,126.84826
경기도 광명시 노온사동 152-9,20060824,20060823,20061123,329.0,184.73,56.15,296.06,296.06,89.99,단독주택,,37.4524794,126.84826
경기도 광명시 노온사동 157-5,20060621,20060622,20061117,462.0,198.9,43.05,198.9,198.9,43.05,제2종근린생활시설,제조업,37.4522036,126.8501341
경기도 광명시 노온사동 157-17,20060413,20060413,20061106,330.0,197.0,59.7,197.0,197.0,59.7,단독주택,단독주택,37.4524305,126.850175
경기도 광명시 노온사동 158-2,20060707,20060707,20080805,585.0,238.96,40.85,297.94,297.94,50.93,제2종근린생활시설,단독주택,37.4517669,126.8503439
경기도 광명시 노온사동 159-1,20061012,20061012,20070619,330.0,197.2,59.76,197.2,197.2,59.76,단독주택,,37.45150880000001,126.8503198
경기도 광명시 노온사동 159-2,20061012,20061012,20070312,330.0,197.85,59.95,197.85,197.85,59.95,단독주택,,37.4515641,126.8500737
경기도 광명시 노온사동 162,20061027,20061108,20070720,330.0,196.8,59.64,296.7,296.7,89.91,단독주택,,37.4513576,126.8503392
경기도 광명시 노온사동 212-2,20060226,20060226,20071212,1028.0,184.19,17.92,294.2,294.2,28.62,단독주택,단독주택,37.4487517,126.8482411
경기도 광명시 노온사동 212-4,20061114,20061114,20070111,333.0,194.76,58.49,194.76,194.76,58.49,제2종근린생활시설,제조업소,37.4489587,126.8478476
경기도 광명시 노온사동 212-36,20061114,20061114,20070111,330.0,195.36,59.2,195.36,195.36,59.2,제2종근린생활시설,제조업소,37.4488729,126.8479496
경기도 광명시 노온사동 382-2,20060511,20060511,20060831,512.0,199.0,38.87,199.0,199.0,38.87,제2종근린생활시설,제조업소,37.4421765,126.8439752
경기도 광명시 노온사동 382-2,20060511,20060511,20060831,513.0,199.0,38.79,199.0,199.0,38.79,제2종근린생활시설,제조업소,37.4421765,126.8439752
경기도 광명시 노온사동 382-26,20061221,20061221,20070321,330.0,196.8,59.64,196.8,196.8,59.64,단독주택,,37.4418859,126.8430562
경기도 광명시 노온사동 435,20061101,20061101,20070201,653.0,198.0,30.32,198.0,198.0,30.32,제2종근린생활시설,제조업소,37.443566,126.8497003
경기도 광명시 노온사동 435,20061101,20061101,20070201,394.0,197.41,50.1,197.41,197.41,50.1,제2종근린생활시설,제조업소,37.443566,126.8497003
경기도 광명시 노온사동 435-5,20060516,20060516,20060712,478.0,198.0,41.42,198.0,198.0,41.42,제2종근린생활시설,제조업소,37.4427398,126.8494914
경기도 광명시 노온사동 572-77,20060525,20060524,20060809,329.0,196.46,59.71,196.46,196.46,59.71,단독주택,,37.438146,126.8447188
경기도 광명시 노온사동 574-5,20060830,20060830,20061019,333.0,199.1,59.79,199.1,199.1,59.79,제2종근린생활시설,제조업소,37.4367724,126.8444145
경기도 광명시 노온사동 574-5,20060830,20060830,20061019,488.0,199.1,40.8,199.1,199.1,40.8,제2종근린생활시설,제조업소,37.4367724,126.8444145
경기도 광명시 노온사동 577-57,20060413,20060413,20060824,327.0,190.12,58.14,231.62,231.62,70.83,단독주택,,37.4344098,126.8460415
경기도 광명시 노온사동 577-75,20060926,20060926,20070119,327.0,195.0,59.63,195.0,195.0,59.63,단독주택,,37.4344051,126.8462027
경기도 광명시 노온사동 577-77,20060227,20060227,20100514,330.0,169.26,51.29,299.88,299.88,90.87,단독주택,,37.4344177,126.846374
경기도 광명시 노온사동 726-6,20061027,20061028,20070302,330.0,196.2,59.45,196.2,196.2,59.45,단독주택,,37.4291735,126.8459282
경기도 광명시 노온사동 778-6,20060804,20060804,20061220,334.0,198.15,59.33,198.15,198.15,59.33,제2종근린생활시설,제조업소,37.4313332,126.8515923
경기도 광명시 노온사동 780,20060602,20060602,20060926,334.0,168.5,50.45,168.5,168.5,50.45,제2종근린생활시설,제조업소,37.4318506,126.8523311
경기도 광명시 노온사동 780,20060603,20060602,20060926,376.0,190.2,50.59,190.2,190.2,50.59,제2종근린생활시설,제조업소,37.4318506,126.8523311
경기도 광명시 노온사동 780,20060621,20060620,20060926,334.0,179.9,53.86,231.88,231.88,69.43,제2종근린생활시설,제조업소,37.4318506,126.8523311
경기도 광명시 노온사동 794-3,20060316,20060316,20060526,351.0,199.75,56.91,199.75,199.75,56.91,제2종근린생활시설,제조업소,37.4298378,126.8517517
경기도 광명시 노온사동 794-3,20060316,20060316,20060526,353.0,170.5,48.3,170.5,170.5,48.3,제2종근린생활시설,제조업소,37.4298378,126.8517517
경기도 광명시 노온사동 906-1,20061026,20061026,20061220,328.0,196.43,59.89,188.56,188.56,57.49,단독주택,,37.4269864,126.8523488
경기도 광명시 노온사동 933-1,20060721,20060721,20061220,330.0,190.0,57.58,296.72,296.72,89.92,단독주택,단독주택,37.4261325,126.8472956
경기도 광명시 노온사동 933-2,20060308,20060307,20060428,330.0,197.0,59.7,197.0,197.0,59.7,단독주택,단독주택,37.4260623,126.8468817
경기도 광명시 노온사동 940-3,20061025,20061024,20070213,330.0,148.4,44.97,197.9,197.9,59.97,단독주택,,37.423916,126.8466985
경기도 광명시 소하동 29-10,20060322,20060322,20060511,116.0,68.75,59.27,97.84,97.84,84.19,제2종근린생활시설,사무소,37.4506497,126.8911547
경기도 광명시 소하동 381-10,20061208,20061208,20070420,347.0,126.0,36.31,193.0,193.0,55.62,단독주택,,37.4384172,126.8786081
경기도 광명시 소하동 714,20060316,20060316,20060623,330.0,195.84,59.35,195.84,195.84,59.35,제2종근린생활시설,제조업소,37.4330188,126.895891
경기도 광명시 소하동 735-1,20060602,20060602,20061025,330.0,162.06,49.11,199.2,199.2,60.36,단독주택,,37.4350075,126.8929012
경기도 광명시 소하동 736,20060602,20060602,20060926,380.0,167.66,44.12,228.22,228.22,60.06,제2종근린생활시설,일반음식점,37.4349197,126.8928172
경기도 광명시 옥길동 25-12,20061017,20061017,20061129,330.0,197.0,59.7,197.0,197.0,59.7,단독주택,단독주택,37.469786,126.8415993
경기도 광명시 옥길동 52-5,20060426,20060426,20060614,413.0,187.35,45.36,187.35,187.35,45.36,제2종근린생활시설,제조업소,37.4708895,126.8397406
경기도 광명시 옥길동 52-7,20061229,20061229,20070323,512.0,198.0,31.73,198.0,198.0,38.67,제2종근린생활시설,제조업소,37.4706924,126.8398104
경기도 광명시 옥길동 52-8,20060208,20060207,20090107,254.0,132.02,51.98,199.5,199.5,78.54,제2종근린생활시설,"제조업소,화장실",37.47070120000001,126.8400217
경기도 광명시 옥길동 52-8,20060208,20060207,20090107,254.0,132.02,51.98,199.5,199.5,78.54,제2종근린생활시설,,37.47070120000001,126.8400217
경기도 광명시 옥길동 61-10,20060921,20060921,20080526,330.0,197.4,59.82,329.32,329.32,99.79,제2종근린생활시설,제1종근린생활시설,37.4711869,126.8405282
경기도 광명시 옥길동 141-20,20060627,20060627,20060906,283.0,169.69,59.96,169.69,169.69,59.96,단독주택,,37.4706594,126.838837
경기도 광명시 옥길동 143-4,20060204,20060203,20060426,330.0,196.86,59.65,196.86,196.86,59.65,단독주택,단독주택,37.4716399,126.8377367
경기도 광명시 옥길동 143-5,20060207,20060206,20060508,677.0,203.65,30.08,297.55,297.55,43.95,제2종근린생활시설,"제조업소,단독주택",37.4714705,126.8376058
경기도 광명시 옥길동 143-5,20060203,20060203,20060324,420.0,198.0,47.14,198.0,198.0,47.14,제2종근린생활시설,제조업소,37.4714705,126.8376058
경기도 광명시 옥길동 416-1,20060303,20060228,20070628,1980.0,294.36,14.87,294.36,294.36,14.87,제2종근린생활시설,사무소,37.4640323,126.8297378
경기도 광명시 옥길동 416-1,20060303,20060228,20070628,1980.0,294.36,14.87,294.36,294.36,14.87,공장,,37.4640323,126.8297378
경기도 광명시 옥길동 418-2,20060406,20060405,20060609,517.0,199.8,38.65,199.8,199.8,38.65,제2종근린생활시설,제조업소,37.4632627,126.8279661
경기도 광명시 일직동 223-22,20060511,20060511,20060616,232.0,72.07,31.06,72.07,72.07,31.06,단독주택,,37.4212396,126.886224
경기도 광명시 일직동 226,20060610,20060609,20061114,330.0,197.6,59.88,197.6,197.6,59.88,단독주택,,37.4212396,126.886224
경기도 광명시 철산동 66-8,20060405,20060420,20061214,475.0,282.06,59.38,1189.97,910.71,191.73,종교시설,교회,37.4864691,126.8652613
경기도 광명시 철산동 77,20060422,20060422,20080410,2467.0,857.03,34.74,3185.17,1148.31,46.55,종교시설,성당,37.4853318,126.8638124
경기도 광명시 철산동 150,20060919,,20071009,691.3,406.96,58.87,2042.84,1086.64,157.19,노유자시설,사회복지시설,37.4848747,126.8647364
경기도 광명시 철산동 463-38,20061013,20061012,20081120,895.4,360.19,40.23,4008.45,2145.27,239.59,공동주택,"아파트,업무,판매시설",37.4783538,126.8635462
경기도 광명시 철산동 542,20061120,20061120,20110905,1652.7,825.15,49.93,7273.58,3520.39,213.01,종교시설,교회,37.479417,126.8689233
경기도 광명시 철산동 634,20061230,20061230,20091126,96199.6,11874.94,12.34,323814.5,239411.85,248.87,공동주택,아파트,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230,20061230,20091126,96199.6,11874.94,12.34,323814.5,239411.85,248.87,공동주택,아파트,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230,20061230,20091126,96199.6,11874.94,12.34,323814.5,239411.85,248.87,공동주택,아파트,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230,20061230,20091126,96199.6,11874.94,12.34,323814.5,239411.85,248.87,공동주택,아파트,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230,20061230,20091126,96199.6,11874.94,12.34,323814.5,239411.85,248.87,공동주택,커뮤니티센터,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230,20061230,20091126,96199.6,11874.94,12.34,323814.5,239411.85,248.87,공동주택,아파트,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230,20061230,20091126,96199.6,11874.94,12.34,323814.5,239411.85,248.87,공동주택,아파트,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230,20061230,20091126,96199.6,11874.94,12.34,323814.5,239411.85,248.87,공동주택,아파트,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230,20061230,20091126,96199.6,11874.94,12.34,323814.5,239411.85,248.87,공동주택,아파트,37.4718179,126.8743785
