대지위치,착공예정일,실착공일,사용승인일,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정용면적(㎡),용적률(%),주용도,기타용도,위도,경도,labels
경기도 광명시 광명동 247-2,20060105.0,,20060523.0,233.0,115.58,49.61,542.49,542.49,232.83,제2종근린생활시설,학원,37.4751169,126.847712,제2종근린생활시설
경기도 광명시 옥길동 143-4,20060204.0,20060203.0,20060426.0,330.0,196.86,59.65,196.86,196.86,59.65,단독주택,단독주택,37.4716399,126.8377367,단독주택
경기도 광명시 옥길동 143-5,20060203.0,20060203.0,20060324.0,420.0,198.0,47.14,198.0,198.0,47.14,제2종근린생활시설,제조업소,37.4714705,126.8376058,제2종근린생활시설
경기도 광명시 옥길동 143-5,20060207.0,20060206.0,20060508.0,677.0,203.65,30.08,297.55,297.55,43.95,제2종근린생활시설,"제조업소,단독주택",37.4714705,126.8376058,제2종근린생활시설
경기도 광명시 옥길동 52-8,20060208.0,20060207.0,20090107.0,254.0,132.02,51.98,199.5,199.5,78.54,제2종근린생활시설,"제조업소,화장실",37.47070120000001,126.8400217,제2종근린생활시설
경기도 광명시 옥길동 52-8,20060208.0,20060207.0,20090107.0,254.0,132.02,51.98,199.5,199.5,78.54,제2종근린생활시설,,37.47070120000001,126.8400217,제2종근린생활시설
경기도 광명시 노온사동 212-2,20060226.0,20060226.0,20071212.0,1028.0,184.19,17.92,294.2,294.2,28.62,단독주택,단독주택,37.4487517,126.8482411,단독주택
경기도 광명시 노온사동 577-77,20060227.0,20060227.0,20100514.0,330.0,169.26,51.29,299.88,299.88,90.87,단독주택,,37.4344177,126.846374,단독주택
경기도 광명시 옥길동 416-1,20060303.0,20060228.0,20070628.0,1980.0,294.36,14.87,294.36,294.36,14.87,공장,,37.4640323,126.8297378,공장
경기도 광명시 옥길동 416-1,20060303.0,20060228.0,20070628.0,1980.0,294.36,14.87,294.36,294.36,14.87,제2종근린생활시설,사무소,37.4640323,126.8297378,제2종근린생활시설
경기도 광명시 노온사동 933-2,20060308.0,20060307.0,20060428.0,330.0,197.0,59.7,197.0,197.0,59.7,단독주택,단독주택,37.4260623,126.8468817,단독주택
경기도 광명시 하안동 495,20060308.0,20060308.0,20060727.0,330.0,196.72,59.61,189.35,189.35,57.38,단독주택,,37.4590598,126.8698947,단독주택
경기도 광명시 하안동 36-5,20060314.0,20060312.0,20070612.0,504.0,331.06,65.69,2998.94,2272.94,450.98,제2종근린생활시설,,37.4619819,126.8799361,제2종근린생활시설
경기도 광명시 노온사동 794-3,20060316.0,20060316.0,20060526.0,351.0,199.75,56.91,199.75,199.75,56.91,제2종근린생활시설,제조업소,37.4298378,126.8517517,제2종근린생활시설
